key,N,R2,R2adj,RMSE,x_Intercept__B,x_Intercept__p,caliber_B,caliber_p,myelin_B,myelin_p,length_B,length_p,int_my_cal_B,int_my_cal_p,int_my_len_B,int_my_len_p,dom_x1,domfrac_x1,dom_x2,domfrac_x2,dom_x3,domfrac_x3,dom_x1_x2,domfrac_x1_x2,dom_x2_x3,domfrac_x2_x3
Control–Control,586,0.398207726283925,0.393019861855338,0.779089300494277,-0.112817202906527,0.0133814215448974,0.569882543954522,6.89380351566736e-18,-0.142598576036665,0.0447270174685645,0.287058401048403,2.52005531787105e-05,-0.0562893376949162,0.401902853837322,0.0891980619723384,0.270849475331585,0.205794749875691,43.3098320418493,0.148753886488967,31.3054917256199,0.0751353324026289,15.812350065937,0.0179643091120344,3.78061739116298,0.0275203851550597,5.79170877543086
Control–Default,1708,0.32024906894772,0.318252150818894,0.825680234219705,-0.128223991423261,2.41585818663074e-07,0.39022659280793,7.68714642899103e-27,0.0330606027968047,0.336875274160917,0.00179338873195177,0.960387868864434,-0.0929896102928757,0.00550592276654927,0.106193552581646,0.0228763317599834,0.157949197463507,39.152299460812,0.114894769601382,28.4800081175064,0.0698505461426475,17.314488101214,0.0229512435896839,5.68913281264984,0.0377767742896199,9.36407150781772
Control–DorsAtt,817,0.372906408775637,0.369040233737263,0.794329759144612,-0.120783971123156,0.000560377800508733,0.474011043489115,2.31771396464996e-19,0.0874716820742565,0.0904177071656777,0.0523862826157404,0.328052454252281,-0.272569832955187,8.60247567581708e-08,-0.108142369530884,0.085861383073412,0.202067509821317,41.9043561773249,0.12500005922849,25.9222623603826,0.0737548267875982,15.2951285154026,0.0435030680027162,9.02157926330767,0.0378857625207756,7.85667368358221
Control–Limbic,210,0.396689017003518,0.381901983106545,0.786192099231133,-0.0689390397292116,0.294174574899169,0.736835075480434,5.73288558691459e-10,0.147191009999413,0.102445126183067,0.213198954105827,0.0795636321161937,-0.159165599215491,0.0893751187863493,0.0151865509256696,0.885131805737236,0.248404173498964,61.7473942814368,0.0175694591034166,4.3673514147892,0.0747618176655086,18.5840171989232,0.0235854440278991,5.86278278331551,0.037970046706142,9.43845432153537
Control–SalVentAtt,804,0.287643321591612,0.283179933882287,0.84665226989462,-0.0817163877638183,0.0369774647745334,0.370178647575934,1.28526524524887e-13,-0.0164941457114986,0.783717086023752,4.01345297475519e-05,0.999454354462001,-0.135181144126486,0.00103337542930133,0.0113392435431499,0.845518615653613,0.158401525838658,44.3037086088743,0.0904744602402895,25.3050221695069,0.0618595323759751,17.3016432926151,0.0190954858501681,5.34086295173969,0.0277045854060818,7.74876297726399
Control–SomMot,703,0.044451666281551,0.0375969436580328,0.981021435210244,-0.065869971233473,0.113266561924535,0.14260407046246,0.0122490312030741,-0.0174757478551448,0.686575577962261,-0.000979411317509991,0.987333731902703,-0.0030182927572059,0.956205392610876,0.136645082098255,0.0187903583459422,0.0163259917233614,27.6742104467934,0.0122347920356569,20.7392123740345,0.00708810512231911,12.0150564907714,0.00581839012220375,9.86276089268151,0.0175262440628163,29.7087597957192
Control–Visual,328,0.417041126296614,0.407988969872648,0.769422530296164,-0.134808927990995,0.00389987647651983,0.309493081949962,7.94580666050563e-06,-0.0892862189469436,0.110664251455081,-0.00996281743155857,0.879049351103269,0.0410586632415617,0.500575447343126,0.345733777315871,1.88947086627423e-05,0.155303276372408,29.0238605170814,0.168628937658088,31.5142273881963,0.0922938087353196,17.2483330287294,0.031578243657455,5.90150163407125,0.0872840147549261,16.3120774319216
Default–Default,1400,0.336433755191917,0.334053675404226,0.816055344076475,-0.136921739433306,3.28898634453921e-06,0.551649481337995,2.79411602167582e-32,0.17207134304259,9.70910473008936e-06,0.0478465755414919,0.285798638025175,-0.16427169111152,0.000405506167862341,0.0331507414668463,0.587665648763948,0.186442046350547,45.0389832494033,0.0842102430807221,20.3427488690493,0.084340209039069,20.3741448697667,0.0208768609735985,5.04324324955183,0.0380876904257823,9.20087976222878
Default–DorsAtt,1046,0.223849856199449,0.220118365123484,0.883109073034875,-0.0849721583390108,0.00611403739928911,0.296462731270251,3.90565681470713e-10,0.0807075216873353,0.0351471832383946,-0.0649321320859438,0.138588664977275,-0.184569066551129,1.35608491304138e-06,-0.0455139738728466,0.334976732766263,0.12124835370138,42.693121153025,0.0558435316864754,19.6632332821221,0.0558258661020132,19.6570130002407,0.0280753128423532,9.88568253503654,0.0230066771408585,8.10095002957575
Default–Limbic,471,0.370954146636103,0.364190212728965,0.797376816361647,-0.00355037345898814,0.937383536999517,0.726369748625147,6.38847674939776e-25,-0.206941037966183,0.000123156254827666,0.477399256699703,1.66994964144355e-10,-0.252849657057128,2.43843998601252e-06,-0.200120879259335,0.00493797313450432,0.232701042902795,51.7502253469822,0.078527472465358,17.4636707481744,0.0661249488988114,14.7054820377432,0.0381062425612475,8.47442115029573,0.034202186125004,7.60620071680446
